Time,pH,Hydrogen,Total Gas,Temperature,Pressure,Radioactivity,Power,Reactor Safety,Injection of Air,Injection of Air Degree,Resin Overheat,Resin Overheat Degree,Fuel Element Failure,Fuel Element Failure Degree,Chemical Addition,Vent Gas
2771,10.498412433314863,41.25587441384963,60.10206479221482,507.62494649021016,2151.740708326426,1252.1363533784734,100.0,0,,,,,,,False,False
2772,10.496412433314863,41.332739558184166,60.17892993654935,508.22899353209453,2155.8395989677842,1252.1363533784734,100.0,0,,,,,,,False,False
2773,10.494412433314862,41.4068724226902,60.253062801055385,508.8104854746977,2159.785437149734,1252.1363533784734,100.0,0,,,,,,,False,False
2774,10.492412433314861,41.478054044558334,60.32424442292352,509.3678284890238,2163.56740760409,1252.1363533784734,100.0,0,,,,,,,False,False
2775,10.49041243331486,41.546073087299845,60.39226346566503,509.8994949366115,2167.175144212721,1252.1363533784734,100.0,0,,,,,,,False,False
2776,10.48841243331486,41.61072659916028,60.45691697752547,510.40402755668345,2170.598758420352,1252.1363533784734,100.0,0,,,,,,,False,False
2777,10.48641243331486,41.67182075255309,60.518011130918275,510.8800434603976,2173.8288663384124,1252.1363533784734,100.0,0,,,,,,,False,False
2778,10.484412433314859,41.72917156038983,60.575361938755016,511.32623792124906,2176.856614465619,1252.1363533784734,100.0,0,,,,,,,False,False
2779,10.482412433314858,41.782605565206026,60.62879594357121,511.7413879512358,2179.6737039548148,1252.1363533784734,100.0,0,,,,,,,False,False
2780,10.480412433314857,41.83196049704031,60.6781508754055,512.1243556529821,2182.272413359521,1252.1363533784734,100.0,0,,,,,,,False,False
2781,10.478412433314857,41.87708589612276,60.723276274487944,512.4740913386372,2184.645619797895,1252.1363533784734,100.0,0,,,,,,,False,False
2782,10.476412433314856,41.91784369656167,60.764034074926855,512.7896364069964,2186.7868184760464,1252.1363533784734,100.0,0,,,,,,,False,False
2783,10.474412433314855,41.95410876739199,60.80029914575718,513.0701259709608,2188.690140517234,1252.1363533784734,100.0,0,,,,,,,False,False
2784,10.472412433314854,41.98576940755569,60.83195978592088,513.3147912281321,2190.3503690480393,1252.1363533784734,100.0,0,,,,,,,False,False
2785,10.470412433314854,42.012727791629395,60.85891816999458,513.522961568047,2191.7629534974617,1252.1363533784734,100.0,0,,,,,,,False,False
2786,10.468412433314853,42.03490036339,60.88109074175519,513.6940664102732,2192.924022069711,1252.1363533784734,100.0,0,,,,,,,False,False
2787,10.466412433314852,42.05221817461687,60.898408552982055,513.8276367683319,2193.830392356538,1252.1363533784734,100.0,0,,,,,,,False,False
2788,10.464412433314852,42.064627166863076,60.91081754522826,513.9233065351558,2194.479580059986,1252.1363533784734,100.0,0,,,,,,,False,False
2789,10.462412433314851,42.072088394288286,60.91827877265347,513.980813486564,2194.8698058016844,1252.1363533784734,100.0,0,,,,,,,False,False
2790,10.46041243331485,42.07457818602463,60.92076856438982,514.0,2195.0,1252.1363533784734,100.0,0,,,,,,,False,False
2791,10.45841243331485,42.07208824694445,60.91827862530964,513.980813486564,2194.8698058016844,1252.1363533784734,100.0,0,,,,,,,False,False
2792,10.45641243331485,42.06462569610765,60.910816074472834,513.9233065351558,2194.479580059986,1252.1363533784734,100.0,0,,,,,,,False,False
2793,10.454412433314848,42.052213042584,60.89840342094919,513.827636768332,2193.8303923565386,1252.1363533784734,100.0,0,,,,,,,False,False
2794,10.452412433314848,42.034888098767134,60.88107847713232,513.6940664102733,2192.924022069712,1252.1363533784734,100.0,0,,,,,,,False,False
2795,10.450412433314847,42.012703831717346,60.85889421008253,513.522961568047,2191.7629534974617,1252.1363533784734,100.0,0,,,,,,,False,False
2796,10.448412433314846,41.98572815348514,60.83191853185033,513.3147912281322,2190.3503690480397,1252.1363533784734,100.0,0,,,,,,,False,False
2797,10.446412433314846,41.95404365177285,60.800234030138036,513.0701259709609,2188.690140517235,1252.1363533784734,100.0,0,,,,,,,False,False
2798,10.444412433314845,41.91774726268224,60.76393764104743,512.7896364069965,2186.7868184760478,1252.1363533784734,100.0,0,,,,,,,False,False
2799,10.442412433314844,41.876949887668616,60.7231402660338,512.4740913386372,2184.6456197978955,1252.1363533784734,100.0,0,,,,,,,False,False
